@RELATION svm_speech_non_speech
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {speech,non_speech}

@DATA
0.171217,0.017048,2.932788,0.248997,0.200403,1.547103,0.012878,0.279346,-25.262729,1.977803,-0.504002,0.300344,-0.440336,0.226426,-0.108842,0.245353,-0.035679,0.234173,-0.041733,0.075977,-0.029348,0.011433,0.006830,0.027939,0.015534,0.018247,0.012122,0.031136,0.002591,0.009922,0.023834,0.038121,0.006610,0.020455,-0.001605,-0.000158,0.005489,-0.002689,-0.001364,-0.041063,0.000942,-0.004673,-0.002189,0.044080,-0.010551,0.008429,-0.007104,-0.020252,-0.008023,-0.010206,0.010233,0.000849,0.018783,0.017949,-0.000988,-0.002513,-0.000021,-0.001530,0.000057,0.001354,-0.000083,-0.001019,-0.000054,0.000042,0.000877,0.003326,-0.000755,0.000363,0.055433,0.023036,0.417017,0.048442,0.024987,0.519352,0.006325,0.122564,1.688130,0.794251,0.637732,0.405572,0.395818,0.331787,0.316467,0.263712,0.228393,0.222049,0.210458,0.215403,0.264393,0.014056,0.010813,0.025083,0.018671,0.015319,0.011935,0.023500,0.001987,0.014132,0.027491,0.026006,0.008409,0.008181,0.070726,0.027062,0.647903,0.057757,0.026439,0.640386,0.008245,0.149145,1.573254,0.872976,0.659589,0.463963,0.519568,0.405459,0.403624,0.312484,0.276418,0.284025,0.260320,0.306233,0.306652,0.014536,0.015106,0.031181,0.023007,0.020783,0.016853,0.032672,0.002299,0.021579,0.033601,0.031701,0.010270,0.011267,speech
0.156850,0.022522,3.059978,0.229353,0.178811,1.420022,0.016629,0.226167,-24.557883,2.277793,-1.140003,0.035912,-0.351394,0.166632,-0.160805,-0.059997,0.004655,0.391259,0.157698,0.168783,-0.241791,0.009710,0.006987,0.027343,0.015820,0.017424,0.015306,0.016498,0.004184,0.011688,0.026994,0.015395,0.005397,0.020608,-0.014703,-0.006099,0.023842,-0.002395,0.005401,-0.040448,0.001815,-0.020083,-0.277591,0.018062,0.222567,-0.118241,-0.068622,0.084368,-0.046295,-0.043958,0.079881,0.214423,0.196817,0.107792,-0.145675,-0.001720,-0.000358,-0.004213,-0.001141,-0.001111,-0.000912,-0.004780,-0.001121,0.006594,0.001862,-0.000017,-0.000233,0.000429,0.046875,0.016120,0.249199,0.030678,0.026331,0.335289,0.005433,0.093912,1.126482,0.532412,0.787672,0.309933,0.306834,0.388134,0.175049,0.231365,0.214368,0.268887,0.156790,0.196313,0.177561,0.010635,0.010049,0.026148,0.016718,0.016309,0.018153,0.026612,0.004280,0.009810,0.021607,0.014270,0.005870,0.009905,0.044137,0.019536,0.414863,0.033226,0.026275,0.381001,0.008504,0.096586,1.516838,0.631012,0.642136,0.331056,0.363667,0.421399,0.257261,0.298916,0.371900,0.333288,0.360866,0.322982,0.234405,0.016438,0.013627,0.029684,0.020229,0.021334,0.023730,0.027662,0.007025,0.010782,0.038323,0.019933,0.008775,0.015086,speech
0.198223,0.021643,2.879307,0.266857,0.224944,1.425637,0.014745,0.333529,-25.125561,2.340244,0.286559,0.217335,-0.339058,0.069565,-0.240344,0.126674,-0.004711,0.079374,-0.167413,-0.058523,-0.166127,0.050276,0.007375,0.028327,0.010070,0.016480,0.008616,0.021061,0.001952,0.005866,0.019858,0.039222,0.012586,0.024072,0.004478,-0.000042,0.020718,0.004169,0.002691,0.012755,0.000128,0.011478,-0.071206,-0.023822,0.028742,-0.018170,0.022713,-0.023181,0.018797,-0.001243,-0.001931,0.000849,-0.013149,-0.002569,0.018946,-0.001427,0.000041,0.000616,0.000438,0.000120,0.000086,0.000756,-0.000104,-0.000004,-0.000535,0.000469,-0.000186,0.000011,0.151102,0.028511,0.410660,0.106075,0.049829,0.690310,0.008366,0.249554,1.971860,0.884922,0.734915,0.443945,0.742409,0.384292,0.398601,0.287715,0.284403,0.271578,0.237898,0.227585,0.185450,0.054705,0.015310,0.022119,0.011580,0.017489,0.008818,0.015995,0.003203,0.006964,0.021055,0.030757,0.015792,0.011439,0.154532,0.029971,0.638911,0.106501,0.044988,0.786705,0.010894,0.249808,1.753499,1.027806,0.604057,0.457912,0.668145,0.365075,0.426233,0.416178,0.286874,0.330357,0.285317,0.294728,0.212845,0.064744,0.021063,0.027852,0.016623,0.022486,0.012757,0.017173,0.004114,0.009877,0.026940,0.037136,0.022423,0.013213,speech
0.122895,0.032642,2.964983,0.203706,0.204844,0.962869,0.022006,0.175880,-31.677788,2.701019,0.188644,-0.098631,-0.314554,0.227595,-0.162495,0.307975,0.082232,0.076983,0.002105,0.093315,-0.084016,0.013434,0.004565,0.048768,0.012210,0.034294,0.003095,0.036769,0.008671,0.006745,0.029651,0.021172,0.006728,0.028567,0.001346,0.000000,0.004573,-0.001027,0.000048,-0.017369,-0.000008,-0.006630,-0.019690,0.021005,0.032620,-0.003105,-0.007581,-0.002179,-0.018621,-0.000307,-0.009211,0.001154,0.014652,-0.009303,0.006307,0.000083,-0.000069,-0.000561,0.001026,-0.000288,0.000137,-0.000873,0.000004,0.000322,0.000282,-0.000146,-0.000033,-0.000307,0.081040,0.034481,0.289198,0.067284,0.031096,0.548654,0.015185,0.154287,4.363328,0.801075,0.623951,0.502876,0.474063,0.355132,0.330888,0.255099,0.313285,0.183973,0.289702,0.372657,0.246740,0.022004,0.010972,0.039729,0.012317,0.024108,0.003085,0.039081,0.019802,0.008054,0.026474,0.018466,0.012171,0.012872,0.084994,0.038638,0.365921,0.075151,0.036840,0.617740,0.014289,0.171282,3.283251,0.901657,0.582235,0.499848,0.505354,0.350060,0.338459,0.322566,0.313905,0.245683,0.380932,0.339069,0.289951,0.027440,0.015463,0.038664,0.013190,0.028545,0.004499,0.049741,0.021825,0.011643,0.030525,0.023812,0.012864,0.015904,speech
0.101420,0.013789,2.804878,0.186900,0.189212,0.876337,0.021006,0.166229,-29.729714,3.142607,0.160003,-0.046108,-0.243783,0.378677,-0.137094,0.129368,-0.049730,0.117375,-0.036374,0.176115,-0.103768,0.013019,0.007129,0.055054,0.014872,0.050784,0.013728,0.041641,0.003343,0.007408,0.014333,0.014040,0.004127,0.028576,0.000856,0.000000,0.001275,0.000852,0.000457,0.010575,-0.000266,0.001271,0.047974,-0.005080,-0.011820,-0.001810,-0.006026,0.005660,-0.003228,0.001738,0.004606,0.007324,-0.001890,-0.005893,-0.003018,-0.000072,-0.000057,0.000125,-0.000462,-0.001299,0.000039,0.000236,0.000063,-0.000123,0.000485,0.000523,0.000265,-0.000180,0.052544,0.019263,0.496339,0.059473,0.033287,0.455476,0.015413,0.112470,3.546304,0.898372,0.690707,0.498613,0.440590,0.404175,0.357695,0.274046,0.290726,0.220171,0.241601,0.227320,0.217407,0.014267,0.010936,0.047037,0.017341,0.037989,0.015436,0.029833,0.006517,0.009862,0.012812,0.012184,0.004944,0.010723,0.053563,0.022944,0.683964,0.058173,0.040219,0.447755,0.018440,0.122266,3.092221,0.939932,0.709496,0.492487,0.447026,0.403499,0.415642,0.341757,0.305290,0.282986,0.264152,0.303664,0.245728,0.017575,0.013730,0.046114,0.021734,0.047876,0.021737,0.036560,0.008151,0.011468,0.016570,0.014994,0.006361,0.011886,speech
0.125221,0.017539,2.929849,0.204915,0.197326,1.143638,0.015898,0.211217,-31.642242,2.855811,-0.165107,-0.245478,-0.371982,0.162226,-0.023917,0.063343,-0.037372,-0.049491,-0.230681,0.088927,-0.040908,0.016322,0.006662,0.049126,0.030971,0.049705,0.015267,0.028344,0.002114,0.004837,0.010680,0.015892,0.007554,0.027156,-0.000159,-0.000000,0.002618,0.000215,0.000783,-0.006278,-0.000030,-0.001183,-0.007892,-0.006128,0.006512,-0.009496,-0.003575,0.003287,0.005352,0.014754,0.004307,-0.008551,0.007185,-0.002007,-0.015071,-0.000288,0.000480,-0.001335,-0.000102,0.001589,0.000146,-0.000585,0.000129,-0.000421,-0.000010,0.000342,-0.000283,-0.000173,0.064260,0.022733,0.485302,0.059410,0.031732,0.438128,0.010801,0.143659,3.494602,0.651416,0.589770,0.480044,0.430501,0.340092,0.236737,0.302658,0.297532,0.209935,0.331464,0.251174,0.250356,0.018966,0.008310,0.033197,0.032105,0.033518,0.019701,0.018348,0.002542,0.004873,0.010621,0.013885,0.007496,0.011006,0.057149,0.028522,0.644781,0.052899,0.032512,0.454018,0.013275,0.140566,2.610215,0.603709,0.590515,0.501837,0.484921,0.319255,0.276640,0.355756,0.360150,0.260838,0.309758,0.253165,0.275279,0.021148,0.011135,0.041883,0.035699,0.040098,0.023470,0.019992,0.003158,0.005896,0.012432,0.019691,0.009138,0.012384,speech
0.119864,0.016574,2.877693,0.197634,0.201161,0.957345,0.017883,0.211800,-31.245038,3.059916,0.266605,0.035501,-0.162811,0.353651,0.134366,0.247969,0.062418,0.118733,0.111369,0.146379,-0.023058,0.012121,0.005257,0.050540,0.011619,0.061043,0.006194,0.040524,0.003030,0.005675,0.014292,0.018074,0.004582,0.026043,-0.000240,0.000000,0.005151,-0.000488,-0.000976,0.003284,-0.000005,-0.000107,0.033932,0.027514,-0.020541,-0.008709,0.010089,0.006288,-0.000163,-0.004897,-0.006887,-0.011780,-0.010249,0.001623,0.006434,0.000213,-0.000030,-0.000255,0.000154,0.000363,0.000203,-0.001551,0.000034,-0.000016,0.000019,0.000049,-0.000017,-0.000130,0.077034,0.026936,0.503882,0.076294,0.044666,0.494494,0.009129,0.186544,3.997464,0.828211,0.647098,0.521003,0.482123,0.326708,0.273439,0.295181,0.258451,0.257292,0.307496,0.192168,0.193096,0.013819,0.007530,0.034954,0.012851,0.035834,0.007299,0.027203,0.004220,0.007641,0.013965,0.014526,0.005695,0.009506,0.080813,0.025364,0.731266,0.081101,0.043652,0.586793,0.012087,0.215547,2.623660,0.797274,0.573092,0.599983,0.540815,0.331201,0.281744,0.334536,0.319169,0.241998,0.291090,0.264131,0.236854,0.016337,0.010443,0.042433,0.014806,0.045896,0.008441,0.030984,0.005407,0.010153,0.017077,0.018646,0.008223,0.010067,speech
0.114461,0.014747,2.849881,0.193648,0.196429,0.953760,0.020701,0.171550,-29.461189,3.233879,0.104655,-0.321515,-0.076382,0.063484,0.077932,0.175322,-0.039901,0.116451,-0.132368,0.155604,-0.087607,0.018619,0.007261,0.057207,0.019520,0.039952,0.015575,0.028639,0.006583,0.007036,0.014209,0.012920,0.004977,0.026997,0.000150,0.000000,-0.001365,-0.000094,-0.000081,-0.001192,0.000128,0.000000,-0.000434,0.001926,-0.000560,-0.000425,0.000962,-0.000323,-0.000080,-0.001915,-0.000630,-0.002593,-0.001476,0.000288,-0.000372,0.000025,0.000000,-0.000364,0.000020,-0.000246,-0.000037,0.001096,0.000021,0.000034,0.000127,0.000059,-0.000028,0.000069,0.067228,0.022422,0.438377,0.060276,0.039176,0.505574,0.010980,0.136950,3.941317,0.906951,0.868837,0.567934,0.385449,0.420251,0.327220,0.336203,0.274026,0.250763,0.231011,0.213436,0.221296,0.024858,0.008593,0.049020,0.020642,0.030886,0.023859,0.026032,0.014990,0.009598,0.013811,0.011685,0.007336,0.012495,0.082986,0.025350,0.642077,0.077755,0.047710,0.627478,0.013581,0.187840,3.476282,1.090837,0.759695,0.599716,0.398450,0.497287,0.372413,0.403977,0.318458,0.303840,0.297718,0.287449,0.241183,0.030954,0.011104,0.049801,0.025363,0.038069,0.026869,0.031571,0.018997,0.013431,0.018668,0.016757,0.008988,0.014512,speech
0.096140,0.008804,2.847224,0.181946,0.192283,0.815635,0.021765,0.136750,-30.291204,3.304439,0.139903,-0.034311,-0.346352,-0.001551,-0.085695,0.118905,-0.066984,0.083765,0.034217,0.108038,0.077327,0.017967,0.007361,0.059116,0.018531,0.029734,0.014014,0.027712,0.001129,0.006620,0.014431,0.024227,0.008138,0.025687,0.002105,-0.000000,-0.003228,-0.000635,-0.001621,0.023183,-0.001191,0.001250,0.031601,0.027941,-0.034634,-0.015234,-0.004393,-0.005294,0.023722,0.031050,-0.032798,-0.017478,0.030812,0.014987,0.008842,-0.000445,0.000039,-0.002092,-0.000029,0.000346,0.000113,0.001780,0.000055,0.002432,0.000110,0.001631,0.000142,-0.000477,0.043075,0.013268,0.349142,0.042114,0.035175,0.375761,0.010374,0.082217,3.172807,0.785794,0.673400,0.471278,0.458104,0.331081,0.271082,0.259160,0.249530,0.218496,0.162654,0.222062,0.170282,0.023267,0.011865,0.043899,0.017709,0.024047,0.017727,0.017965,0.001271,0.006051,0.015720,0.021636,0.012437,0.010230,0.048030,0.015075,0.493961,0.045369,0.039934,0.480362,0.015439,0.093383,2.924942,0.826736,0.782994,0.569704,0.496071,0.375436,0.319718,0.321232,0.253720,0.246526,0.264265,0.295498,0.224459,0.029822,0.014960,0.058363,0.020453,0.029349,0.027089,0.023559,0.001986,0.007636,0.018488,0.026616,0.017752,0.014443,speech
0.128709,0.023729,3.045731,0.217778,0.202323,1.104801,0.021866,0.182619,-24.444760,2.610688,-0.004596,0.290738,-0.425166,-0.099966,-0.177572,0.119892,-0.066933,0.154779,-0.122662,0.123412,-0.139305,0.020513,0.007011,0.027653,0.015529,0.025267,0.016432,0.030733,0.002495,0.014656,0.026329,0.026419,0.007817,0.024869,-0.001474,-0.002056,0.011914,-0.000787,0.000176,0.012610,0.000244,-0.003690,-0.094228,0.006913,-0.025440,0.000088,0.023767,-0.003880,0.023683,0.037672,0.017881,0.021972,0.005293,-0.005995,0.012657,-0.000248,0.000208,0.002349,-0.000255,0.003612,0.000225,0.002334,0.000079,-0.000247,-0.000762,-0.000265,0.000066,0.000778,0.049212,0.016428,0.210308,0.042594,0.031625,0.517788,0.011634,0.103798,1.123260,0.634914,0.678957,0.246619,0.327019,0.345372,0.342758,0.244892,0.247566,0.256834,0.190580,0.162954,0.227056,0.024472,0.013383,0.026214,0.017815,0.026138,0.023083,0.031412,0.005502,0.016479,0.030337,0.029434,0.011042,0.009401,0.065204,0.022117,0.276542,0.051316,0.029600,0.571927,0.017125,0.136907,1.152838,0.755642,0.544973,0.281012,0.418858,0.391234,0.390594,0.268441,0.333851,0.276593,0.270705,0.205711,0.283252,0.035323,0.018200,0.026109,0.023570,0.035235,0.033069,0.047975,0.007251,0.021354,0.035036,0.033223,0.014601,0.012895,speech
